카테고리,바코드,제조사,상품명,제품 재질 1,제품 재질 2,제품 재질 3
맥주,4770301235833,볼파스엔젤맨,볼파스 엔젤맨 블랑(568ML/캔),캔류,,
맥주,8801119740151,하이트진로,하이트 테라(캔/500ML*6),캔류,,
맥주,8801021083520,오비맥주,오비 카프리(병/330ML),유리병,알루미늄,
맥주,4002103292876,비어케이,에딩거바이스헤페(캔/500ML),캔류,,
맥주,8801119381217,하이트진로,하이트 켈리(페트/1L),플라스틱,,
맥주,5740700986932,하이트진로,크로넨버그 1664 라거(캔/500ML),캔류,,
맥주,8801022023129,롯데주류,크러시 캔 500ml*4,캔류,,
맥주,8801858133320,오비맥주,오비 카스(페트/1.6L*6),플라스틱,,
맥주,8801119241559,하이트진로,필라이트 후레쉬(500ML*6/캔),캔류,,
맥주,4901777251977,서울로직,호로요이 화이트 사워 350ML,캔류,,
맥주,6901035607230,비어케이,칭타오 퓨어 드래프트(캔/500ML),캔류,,
맥주,18200250002,오비맥주,버드와이져 740ML,캔류,,
맥주,8801022023013,롯데주류,크러시 캔 (355ml*6),캔류,,
맥주,4901880879891,엠즈베버리지,에비스(캔/500ML),캔류,,
맥주,8801021106588,오비맥주,한맥 464ml*8캔 패키지,캔류,,
맥주,8801030949466,롯데주류,클라우드 클리어 0.5 (355ml/캔),캔류,,
생수,8808244101079,광동제약,삼다수_그린_2L*6,플라스틱,,
생수,8808244201045,광동제약,제주 삼다수 2L,플라스틱,,
생수,8808244201014,광동제약,제주 삼다수 500ml,플라스틱,,
생수,8808244101086,광동제약,삼다수_그린_500ML*20,플라스틱,,
생수,8808244208044,광동제약,제주 삼다수 2L*6,플라스틱,,
생수,8801043020473,농심,농심 백산수 2L,플라스틱,,
생수,8801105916454,해태에이치티비,해태음료_강원평창수무라벨_2L*6,플라스틱,,
생수,8801105000313,해태에이치티비,해태 강원평창수 2L,플라스틱,,
생수,8801043020480,농심,농심 백산수 2L*6,플라스틱,,
생수,8801056049881,롯데칠성음료,칠성 아이시스 8.0 500ML,플라스틱,,
생수,8808244208013,광동제약,제주 삼다수 500ml*20,플라스틱,,
생수,8801056072117,롯데칠성음료,롯데칠성_아이시스평화공원산림수_2L,플라스틱,,
생수,8801105984088,해태에이치티비,해태 강원평창수 2L*6,플라스틱,,
생수,8801056072124,롯데칠성음료,아이시스 평화공원 산림수 2L*6입,플라스틱,,
생수,8801056049904,롯데칠성음료,칠성 아이시스8.0 2L,플라스틱,,
생수,8801043059497,농심,농심 백산수 무라벨 2L*6입,플라스틱,,
생수,8801056059842,롯데칠성음료,칠성 아이시스 8.0 300ML,플라스틱,,
생수,8801043020459,농심,농심 백산수 600ML,플라스틱,,
생수,8801047830924,동원에프앤비,동원_동원샘물무라벨_2L*6,플라스틱,,
생수,8801056049935,롯데칠성음료,칠성 아이시스8.0 2L*6,플라스틱,,
생수,8808244100997,광동제약,제주삼다수 330mL*20,플라스틱,,
생수,8801056226237,롯데칠성음료,롯데칠성_아이시스8.0(무라벨)_300ML*20,플라스틱,,
생수,8801043031929,농심,농심 백산수 330ml,플라스틱,,
생수,8801043022798,농심,농심 백산수 500ml*20,플라스틱,,
생수,8803186000305,한국청정음료,한국청정음료_몽베스트무라벨_2L*6,플라스틱,,
생수,8801056072087,롯데칠성음료,롯데칠성_평화공원산림수_500ML,플라스틱,,
생수,8801043022781,농심,농심 백산수 500ml,플라스틱,,
생수,8801047830931,동원에프앤비,동원_동원샘물무라벨_500ML*20,플라스틱,,
생수,8803186000121,한국청정음료,한국청정음료_몽베스트_330ML*6,플라스틱,,
생수,8801056087616,롯데칠성음료,칠성 아이시스 8.0 1L,플라스틱,,
생수,8801105915303,해태에이치티비,해태 강원평창수 500ML,플라스틱,,
생수,8801117070007,오리온,오리온 제주용암수 530mL,플라스틱,,
생수,8801056085407,롯데칠성음료,칠성 아이시스 8.0 300ML*20,플라스틱,,
생수,8801043059633,농심,농심_백산수무라벨_500ML*20,플라스틱,,
생수,8801056087623,롯데칠성음료,칠성 아이시스 8.0 1L*6,플라스틱,,
생수,8801056049928,롯데칠성음료,칠성 아이시스 8.0 500ML*20,플라스틱,,
생수,8801043031936,농심,농심 백산수 330ml*20,플라스틱,,
생수,8809169718205,풀무원샘물,풀무원샘물 by NATURE 500ml,플라스틱,,
생수,8801043047708,농심,농심 백산수 1L*6,플라스틱,,
생수,8801117070113,오리온,오리온 제주용암수 2L*6,플라스틱,,
생수,8801861210285,웅진식품,동부팜가야_G워터먹는샘물_2L*6,플라스틱,,
생수,8808244100973,광동제약,제주삼다수 330mL,플라스틱,,
생수,8801043047692,농심,농심 백산수 1L,플라스틱,,
생수,8809169712210,풀무원샘물,네슬레퓨어라이프 생수 2L,플라스틱,,
생수,8801382149613,웅진식품,웅진_가야G워터ECO(무라벨)_2L*6,플라스틱,,
생수,8809055547469,스파클,스파클_2L*6,플라스틱,,
생수,3068320024400,롯데칠성음료,칠성)에비앙500ML,플라스틱,,
생수,8801105997064,해태에이치티비,해태 강원평창수 500ML*20,플라스틱,,
생수,8801117070014,오리온,오리온 제주용암수 530mL*20,플라스틱,,
생수,8801117070106,오리온,오리온 제주용암수 2L,플라스틱,,
생수,8801861210124,웅진식품,동부팜가야_G워터먹는샘물_500ML*20,플라스틱,,
생수,8809169712203,풀무원샘물,풀무원 샘물 2.0L,플라스틱,,
생수,8803895300093,지리산산청샘물,지리산산청샘물_화이트_2L*6,플라스틱,,
생수,8801056072094,롯데칠성음료,아이시스 평화공원 산림수 500ML*20,플라스틱,,
생수,8809169719707,풀무원샘물,풀무원샘물 by NATURE 500ml*20,플라스틱,,
생수,8809169710032,풀무원샘물,네슬레퓨어라이프 키즈 330ml,플라스틱,,
생수,8809169713705,풀무원샘물,풀무원 샘물 2.0L*6,플라스틱,,
생수,8809055547452,스파클,스파클 500ML*20,플라스틱,,
생수,8801043042567,농심,농심 백산수 2L*6입,플라스틱,,
생수,8801056171346,롯데칠성음료,롯데칠성 아이시스ECO 2.0L*6,플라스틱,,
생수,8801056055882,롯데칠성음료,롯데 아이시스 8.0 (2L),플라스틱,,
생수,8809296886150,팔도,팔도 뽀로로 샘물 250ml,플라스틱,,
생수,3068320116211,롯데칠성음료,에비앙 1L,플라스틱,,
생수,8803186200118,한국청정음료,몽베스트2L*6,플라스틱,,
생수,8801043068567,농심,농심 백산수 500ML*20입,플라스틱,,
생수,8801056231392,롯데칠성음료,롯데칠성 아이시스 8.0 ECO 2L*6,플라스틱,,
생수,8801117071806,오리온,오리온_닥터유면역수_530ML,플라스틱,,
생수,8809169710025,풀무원샘물,네슬레퓨어라이프 키즈 330ml,플라스틱,,
생수,8809482500167,아워홈,아워홈_지리산수_2L*6,플라스틱,,
생수,4902102148672,삼경엠앤에스,이로하스_화이트피치_555ML,플라스틱,,
생수,7613033131585,훼밀리인터내셔날,구)페리에레몬330ml,유리병,알루미늄,
생수,8801117071813,오리온,오리온 닥터유 면역수 530ML,플라스틱,,
생수,8809169710087,풀무원샘물,풀무원샘물_무라벨_2L*6입,플라스틱,,
생수,3551720026810,한국쥬맥스,로리나레몬에이드_420ML,플라스틱,,
생수,8801047829812,동원에프앤비,동원샘물 500ml*20,플라스틱,,
생수,8850999133003,한국쥬맥스,싱하소다325ml,유리병,알루미늄,
생수,7613032983543,훼밀리인터내셔날,페리에라임330ml,유리병,알루미늄,
생수,8801047816959,동원에프앤비,동원샘물 2L*6,플라스틱,,
생수,3551720026780,한국쥬맥스,로리나핑크레몬에이드_420ML,플라스틱,,
생수,8809482500143,아워홈,아워홈 지리산수 500ML*20,플라스틱,,
생수,8803895300086,지리산산청샘물,지리산산청샘물_화이트_2L,플라스틱,,
생수,8002270021060,신동와인,산펠레그리노250*6,유리병,알루미늄,
생수,8801047288213,동원에프앤비,동원샘물 2L,플라스틱,,
생수,8801056234492,롯데칠성음료,롯데_에비앙에어배드패키지_500ML*6,플라스틱,,
생수,8880000000000,광동제약,제주삼다수2L [*6입],플라스틱,,
생수,3179730010591,훼밀리인터내셔날,페리에 레몬330ml,유리병,알루미늄,
생수,8801047288114,동원에프앤비,동원샘물 500ml,플라스틱,,
생수,3068320055015,롯데칠성음료,에비앙500ML*24입(박스판매),플라스틱,,
생수,411787280002,롯데칠성음료,롯데아이시스8.0300ML [*20입],플라스틱,,
생수,8220623000009,롯데칠성음료,롯데아이시스산림수2.0L [*6입],플라스틱,,
생수,8885555555555,광동제약,제주삼다수2L [*6입],플라스틱,,
생수,8801056177539,롯데칠성음료,롯데칠성_아이시스ECO무라벨_500ML,플라스틱,,
생수,3068320024509,롯데칠성음료,에비앙(330ML),플라스틱,,
생수,8989000055512,광동제약,제주삼다수2L [*6입],플라스틱,,
생수,3179730010041,훼밀리인터내셔날,페리에 플레인330ml,유리병,알루미늄,
생수,3179730010560,훼밀리인터내셔날,페리에 라임330ml,유리병,알루미늄,
생수,8002270011054,한국쥬맥스,산펠레그리노_750ML,유리병,알루미늄,
생수,8803186200095,한국청정음료,몽베스트생수1L*6,플라스틱,,
생수,8803186200132,한국청정음료,몽베스트생수500ml*20,플라스틱,,
생수,8809169710223,풀무원샘물,풀무원 워터루틴 500ml*20,플라스틱,,
요구르트,8801115214861,서울우유협동조합,서울우유 더진한 플레인 요거트 순수 1.8L,플라스틱,,
요구르트,8809274515911,풀무원다논,풀무원다논_하루요거트사과_120ML*4,플라스틱,비닐류,
요구르트,8801104301763,빙그레,빙그레 요플레 라이트슈퍼베리(4입),플라스틱,비닐류,
요구르트,8801115213017,서울우유협동조합,서울우유 비요뜨 초코링 2입 143g*2,플라스틱,비닐류,
요구르트,8809274515942,풀무원다논,풀무원다논_하루요거트포도_120ML*4,플라스틱,비닐류,
요구르트,8801104280037,빙그레,빙그레 요플레클래식플레인 85g*4,플라스틱,비닐류,
요구르트,8801121033111,매일유업,매일유업  바이오 그릭요거트 플레인 400g,플라스틱,,
요구르트,8801128230117,hy,한국야쿠르트 윌 150ml*5,플라스틱,,
요구르트,8801121772713,매일유업,매일_엔요100ml*10입,플라스틱,,
요구르트,8801128230551,hy,한국야쿠르트 윌 150ML*8,플라스틱,,
요구르트,8801155741167,동원에프앤비,동원소와나무_비피더스명장12입기획_140ML*12,플라스틱,,
요구르트,8801115223917,서울우유협동조합,서울우유 요구르트 65ml*20,플라스틱,,
요구르트,8809350882296,서울에프엔비,서울에프엔비 패밀리 요구르트 750ml,플라스틱,,
요구르트,8801069178127,남양유업,남양유업 떠먹는불가리스기획 10입 85g*10입,플라스틱,비닐류,
요구르트,8809762120092,스위트바이오,_그릭데이그릭요거트시그니처_100G,플라스틱,,
요구르트,8801121761410,매일유업,매일유업 바이오플레인 450g,플라스틱,,
요구르트,8801155428112,동원에프앤비,동원F&B 소와나무 비피더스명장 150ml*4,플라스틱,,
요구르트,8801104672559,빙그레,빙그레 요플레 샤인머스켓 85g*4,플라스틱,비닐류,
요구르트,8801069225111,남양유업,남양유업 마시는불가리스 사과기획 150ml*8,플라스틱,,
요구르트,8801155972813,동원에프앤비,동원F&B 소와나무 비피더스명장 기획 140ml*12,플라스틱,,
요구르트,8801128280914,hy,한국야쿠르트 야쿠르트 라이트 65ML*20입,플라스틱,,
요구르트,8809520490108,요즘,요즘 플레인 그릭요거트 100g,플라스틱,,
요구르트,8801069217925,남양유업,남양유업 마시는불가리스사과 150ml*4,플라스틱,,
요구르트,8801121035276,매일유업,매일_바이오그릭오리지널플레인_80G*4,플라스틱,비닐류,
